"species","jdate","year","period"
"COHA",134,1890,"low"
"COHA",135,1890,"low"
"COHA",130,1892,"low"
"COHA",141,1893,"low"
"COHA",141,1893,"low"
"COHA",141,1893,"low"
"COHA",134,1904,"low"
"COHA",135,1906,"low"
"COHA",145,1935,"low"
"SPSA",156,1904,"low"
"SPSA",147,1908,"low"
"SPSA",151,1922,"low"
"SPSA",165,1887,"low"
"SPSA",141,1889,"low"
"SPSA",155,1893,"low"
"SPSA",135,1895,"low"
"SPSA",155,1895,"low"
"SPSA",156,1898,"low"
"SPSA",153,1900,"low"
"SPSA",160,1921,"low"
"SPSA",157,1933,"low"
"RWBL",143,1887,"low"
"RWBL",159,1887,"low"
"RWBL",143,1888,"low"
"RWBL",143,1888,"low"
"RWBL",140,1889,"low"
"RWBL",141,1889,"low"
"RWBL",142,1889,"low"
"RWBL",159,1891,"low"
"RWBL",136,1894,"low"
"RWBL",162,1895,"low"
"RWBL",140,1896,"low"
"RWBL",149,1897,"low"
"RWBL",139,1898,"low"
"RWBL",141,1898,"low"
"RWBL",145,1898,"low"
"RWBL",136,1899,"low"
"RWBL",135,1900,"low"
"RWBL",150,1902,"low"
"RWBL",146,1904,"low"
"RWBL",151,1904,"low"
"RWBL",151,1904,"low"
"RWBL",156,1904,"low"
"RWBL",162,1904,"low"
"RWBL",162,1904,"low"
"RWBL",158,1907,"low"
"RWBL",158,1907,"low"
"RWBL",158,1907,"low"
"RWBL",158,1907,"low"
"RWBL",146,1911,"low"
"RWBL",141,1914,"low"
"RWBL",141,1914,"low"
"RWBL",141,1914,"low"
"RWBL",141,1914,"low"
"RWBL",144,1914,"low"
"RWBL",146,1914,"low"
"RWBL",150,1914,"low"
"RWBL",147,1915,"low"
"RWBL",154,1915,"low"
"RWBL",152,1916,"low"
"RWBL",153,1916,"low"
"RWBL",138,1918,"low"
"RWBL",141,1918,"low"
"RWBL",149,1919,"low"
"RWBL",150,1919,"low"
"RWBL",150,1919,"low"
"RWBL",151,1919,"low"
"RWBL",142,1920,"low"
"RWBL",131,1932,"low"
"RWBL",131,1932,"low"
"RWBL",136,1939,"low"
"RWBL",136,1939,"low"
"RWBL",141,1939,"low"
"RWBL",143,1939,"low"
"RWBL",135,1942,"low"
"RWBL",147,1942,"low"
"RWBL",148,1942,"low"
"RWBL",161,1947,"low"
"RWBL",161,1947,"low"
"RWBL",161,1947,"low"
"RWBL",161,1947,"low"
"RWBL",161,1947,"low"
"RWBL",161,1947,"low"
"RWBL",162,1947,"low"
"RWBL",164,1947,"low"
"RWBL",139,1989,"high"
"RWBL",143,1989,"high"
"RWBL",146,1989,"high"
"RWBL",146,1989,"high"
"RWBL",146,1989,"high"
"RWBL",163,1989,"high"
"RWBL",117,2010,"high"
"RWBL",141,2010,"high"
"RWBL",141,2010,"high"
"RWBL",133,2011,"high"
"RWBL",138,2011,"high"
"RWBL",146,2011,"high"
"RWBL",164,2011,"high"
"RWBL",128,2012,"high"
"RWBL",128,2012,"high"
"RWBL",138,2012,"high"
"RWBL",140,2012,"high"
